City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
3,San Patricio,US,84.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
6,Lalmohan,BD,82.13,overcast clouds,22.3384,90.7419,Arifur Rahman Miraj
9,Dingle,PH,86.68,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
11,Thompson,CA,77.16,overcast clouds,55.7435,-97.8558,Burntwood Hotel
14,Fukue,JP,75.56,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
15,Cayenne,GF,79.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
17,Atuona,PF,77.92,scattered clouds,-9.8,-139.0333,Villa Enata
18,Honiara,SB,82.76,broken clouds,-9.4333,159.95,Heritage Park Hotel
20,Lamu,KE,77.22,light rain,-2.2717,40.902,Lamu House
21,Sinnamary,GF,77.5,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
23,Laguna,US,85.96,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
24,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
28,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
31,Itoman,JP,88.57,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
38,Tikapur,NP,88.9,overcast clouds,28.5,81.1333,BANANA AGRO RESORT
39,Pathein,MM,83.93,overcast clouds,16.7833,94.7333,Pathein Hotel
44,Biak,ID,78.84,overcast clouds,-0.9131,122.8766,Penginapan Kim
51,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
71,Chippewa Falls,US,80.78,clear sky,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
77,Leshan,CN,88.11,scattered clouds,29.5623,103.7639,Leshan Haiyun International Youth Hostel
79,Vila Do Maio,CV,75.99,moderate rain,15.1333,-23.2167,Hotel Marilu
85,Namatanai,PG,85.05,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
89,Bengkulu,ID,79.25,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
91,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
97,Vaini,TO,80.76,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
100,Saint George,US,82.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
103,Agadez,NE,84.47,clear sky,19.75,10.25,
105,Gorontalo,ID,84.42,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
111,Hithadhoo,MV,82.62,overcast clouds,-0.6,73.0833,Scoop Guest House
113,Butaritari,KI,83.01,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
124,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
135,Gizo,SB,83.7,few clouds,-8.103,156.8419,Imagination Island
136,Kieta,PG,84.54,clear sky,-6.2167,155.6333,Uruna Bay Retreat
137,Samarai,PG,79.65,broken clouds,-10.6167,150.6667,Nuli Sapi
138,Marabba,SD,78.58,overcast clouds,12.35,32.1833,
141,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
148,Luis Correia,BR,76.5,clear sky,-2.8792,-41.6669,Hotel Amarração
151,Katsuura,JP,75.43,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
156,Norman Wells,CA,75.24,broken clouds,65.282,-126.8329,Heritage Hotel
157,Oussouye,SN,75.38,moderate rain,12.485,-16.5469,Auberge du Routard
158,Nouakchott,MR,76.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN
