,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Gambela,ET,8.25,34.5833,68.09,98,100,2.01,moderate rain
1,Mataura,NZ,-46.1927,168.8643,46.47,83,87,0.98,overcast clouds
2,Eureka,US,40.8021,-124.1637,61.12,76,5,8.01,clear sky
3,San Patricio,US,28.017,-97.5169,84.88,76,3,9.86,clear sky
4,Miandrivazo,MG,-19.5167,45.4667,66.47,63,0,3.0,clear sky
5,Saldanha,ZA,-33.0117,17.9442,53.13,76,2,12.91,clear sky
6,Lalmohan,BD,22.3384,90.7419,82.13,79,99,8.57,overcast clouds
7,Chumikan,RU,54.7183,135.315,57.96,72,22,9.08,few clouds
8,Nome,US,64.5011,-165.4064,68.11,57,0,18.41,clear sky
9,Dingle,PH,10.9995,122.6711,86.68,67,100,2.73,overcast clouds
10,Jamestown,US,42.097,-79.2353,60.39,66,0,4.61,clear sky
11,Thompson,CA,55.7435,-97.8558,77.16,57,100,6.91,overcast clouds
12,Coquimbo,CL,-29.9533,-71.3436,51.53,87,75,4.61,broken clouds
13,Mandalgovi,MN,45.7625,106.2708,65.98,32,66,6.46,broken clouds
14,Fukue,JP,32.6881,128.8419,75.56,100,75,6.91,broken clouds
15,Cayenne,GF,4.9333,-52.3333,79.09,1,20,0.0,few clouds
16,Panaba,MX,21.2833,-88.2667,74.97,91,99,9.28,overcast clouds
17,Atuona,PF,-9.8,-139.0333,77.92,77,32,17.18,scattered clouds
18,Honiara,SB,-9.4333,159.95,82.76,78,82,2.35,broken clouds
19,Hamilton,US,39.1834,-84.5333,67.05,63,0,4.61,clear sky
20,Lamu,KE,-2.2717,40.902,77.22,77,70,16.17,light rain
21,Sinnamary,GF,5.3833,-52.95,77.5,85,100,4.83,overcast clouds
22,Omsukchan,RU,62.5333,155.8,63.01,42,65,7.94,broken clouds
23,Laguna,US,38.421,-121.4238,85.96,28,0,9.22,clear sky
24,Avarua,CK,-21.2078,-159.775,78.85,73,40,13.8,scattered clouds
25,Namibe,AO,-15.1961,12.1522,58.41,85,1,4.68,clear sky
26,Cherskiy,RU,68.75,161.3,66.2,32,100,15.82,overcast clouds
27,Cape Town,ZA,-33.9258,18.4232,58.37,72,0,13.8,clear sky
28,Miri,MY,4.4148,114.0089,78.94,94,40,5.75,scattered clouds
29,Rikitea,PF,-23.1203,-134.9692,71.51,63,89,20.56,overcast clouds
30,Busselton,AU,-33.65,115.3333,63.81,76,78,11.5,broken clouds
31,Itoman,JP,26.1247,127.6694,88.57,82,75,12.66,broken clouds
32,Nanortalik,GL,60.1432,-45.2371,39.49,98,100,2.84,overcast clouds
33,Ponta Do Sol,PT,32.6667,-17.1,67.12,72,91,8.66,overcast clouds
34,Eha Amufu,NG,6.6592,7.7596,72.57,93,94,4.32,overcast clouds
35,Ariquemes,BR,-9.9133,-63.0408,73.17,72,9,1.05,clear sky
36,Aklavik,CA,68.2191,-135.0107,46.31,67,82,14.97,broken clouds
37,Bredasdorp,ZA,-34.5322,20.0403,48.0,87,0,3.15,clear sky
38,Tikapur,NP,28.5,81.1333,88.9,40,87,3.24,overcast clouds
39,Pathein,MM,16.7833,94.7333,83.93,76,100,7.47,overcast clouds
40,Bambous Virieux,MU,-20.3428,57.7575,66.45,88,40,3.44,scattered clouds
41,Geraldton,AU,-28.7667,114.6,64.81,72,0,10.36,clear sky
42,Tasiilaq,GL,65.6145,-37.6368,42.96,69,76,6.31,broken clouds
43,Port Alfred,ZA,-33.5906,26.891,57.88,75,79,4.47,broken clouds
44,Biak,ID,-0.9131,122.8766,78.84,77,97,3.96,overcast clouds
45,Peniche,PT,39.3558,-9.3811,61.29,75,100,19.42,overcast clouds
46,Igrim,RU,63.1906,64.4162,66.31,70,56,2.91,broken clouds
47,Raton,US,36.9034,-104.4391,67.32,79,100,23.02,overcast clouds
48,Diamantino,BR,-14.4086,-56.4461,70.48,66,6,2.44,clear sky
